X;Y
0,3818821;0,1179717
0,3818821;0,1179717
0,3389421;0,1148183
0,3389421;0,1148183
0,3389421;0,1148183
0,2959078;0,1134659
0,2959078;0,1134659
0,2959078;0,1134659
0,2528525;0,1133156
0,2528525;0,1133156
0,209856;0,1155689
0,209856;0,1155689
0,1670858;0,1205176
0,1670858;0,1205176
0,1670858;0,1205176
0,1243888;0,1260629
0,1243888;0,1260629
0,1243888;0,1260629
0,08193619;0,1332432
0,08193619;0,1332432
0,08193619;0,1332432
0,08193619;0,1332432
0,039853;0,1423419
0,039853;0,1423419
0,039853;0,1423419
-0,002132598;0,1518808
-0,002132598;0,1518808
-0,04398093;0,1620049
-0,04398093;0,1620049
-0,04398093;0,1620049
-0,08568382;0,1727124
-0,08568382;0,1727124
-0,1272723;0,183856
-0,1272723;0,183856
-0,1272723;0,183856
-0,1684465;0,1964442
-0,1684465;0,1964442
-0,2093948;0,2097491
-0,2093948;0,2097491
-0,2093948;0,2097491
-0,2500058;0,2240504
-0,2500058;0,2240504
-0,2904648;0,2387763
-0,2904648;0,2387763
-0,2904648;0,2387763
-0,3304413;0,2547657
-0,3304413;0,2547657
-0,3702481;0,2711729
-0,3702481;0,2711729
-0,3702481;0,2711729
-0,4096422;0,2885477
-0,4096422;0,2885477
-0,4486638;0,3067437
-0,506305;0,287121
-0,506305;0,287121
-0,5640144;0,2676997
-0,5640144;0,2676997
-0,621924;0,2488837
-0,621924;0,2488837
-0,621924;0,2488837
-0,6800275;0,2306751
-0,6800275;0,2306751
-0,7382566;0,2128727
-0,7382566;0,2128727
-0,7382566;0,2128727
-0,7967287;0,1958849
-0,7967287;0,1958849
-0,7967287;0,1958849
-0,8553179;0,1793058
-0,8553179;0,1793058
-0,9141329;0,1635464
-0,9141329;0,1635464
-0,9731097;0,1484037
-0,9731097;0,1484037
-0,9731097;0,1484037
-1,032191;0,1336731
-1,032191;0,1336731
-1,091323;0,1191488
-1,091323;0,1191488
-1,091323;0,1191488
-1,150555;0,1050377
-1,150555;0,1050377
-1,150555;0,1050377
-1,209884;0,09134047
-1,209884;0,09134047
-1,269487;0,07888874
-1,269487;0,07888874
-1,269487;0,07888874
-1,329414;0,06810606
-1,329414;0,06810606
-1,329414;0,06810606
-1,329414;0,06810606
-1,389452;0,05795153
-1,389452;0,05795153
-1,389452;0,05795153
-1,449749;0,04947728
-1,449749;0,04947728
-1,449749;0,04947728
-1,482924;0,07692191
-1,482924;0,07692191
-1,482924;0,07692191
-1,482924;0,07692191
-1,514412;0,1062857
-1,514412;0,1062857
-1,514412;0,1062857
-1,544644;0,1369424
-1,544644;0,1369424
-1,574876;0,167599
-1,574876;0,167599
-1,574876;0,167599
-1,605107;0,1982557
-1,605107;0,1982557
-1,635339;0,2289123
-1,635339;0,2289123
-1,635339;0,2289123
-1,66557;0,259569
-1,66557;0,259569
-1,695802;0,2902256
-1,695802;0,2902256
-1,695802;0,2902256
-1,726034;0,3208823
-1,726034;0,3208823
-1,756265;0,351539
-1,756265;0,351539
-1,756265;0,351539
-1,786497;0,3821956
-1,786497;0,3821956
-1,816728;0,4128523
-1,816728;0,4128523
-1,816728;0,4128523
-1,84696;0,443509
-1,84696;0,443509
-1,84696;0,443509
-1,877192;0,4741656
-1,877192;0,4741656
-1,877192;0,4741656
-1,877192;0,4741656
-1,907423;0,5048223
-1,937655;0,5354789
-1,937655;0,5354789
-1,937655;0,5354789
-1,937655;0,5354789
-1,967886;0,5661355
-1,967886;0,5661355
-1,967886;0,5661355
-1,998118;0,5967922
-1,998118;0,5967922
-2,02835;0,6274488
-2,02835;0,6274488
-2,02835;0,6274488
-2,058581;0,6581054
-2,058581;0,6581054
-2,088813;0,6887621
-2,088813;0,6887621
-2,088813;0,6887621
-2,119045;0,7194187
-2,119045;0,7194187
-2,119045;0,7194187
-2,119045;0,7194187
-2,119045;0,7194187
-2,119045;0,7194187
-2,119045;0,7194187
-2,119045;0,7194187
-2,119045;0,7194187
-2,119045;0,7194187
-2,119045;0,7194187
-2,119045;0,7194187
-2,119045;0,7194187
-2,119045;0,7194187
-2,119045;0,7194187
-2,119045;0,7194187
-2,119045;0,7194187
-2,119045;0,7194187
